Stock,Local Outlier Factor,Isolation Forest,Is both
FARM,1,1,False
FBDS,1,1,False
FC,1,1,False
FCEL,1,1,False
FCELB,1,1,False
FCIC,1,1,False
FDS,1,1,False
FDX,1,1,False
FEAM,1,1,False
FEIM,1,1,False
FFIV,1,1,False
FGPR,1,1,False
FGPRB,1,1,False
FHLD,1,1,False
FICO,1,1,False
FIGI,1,1,False
FIZZ,1,1,False
FKST,1,1,False
FKWL,1,1,False
FLCX,1,1,False
FLES,1,1,False
FLEX,1,1,False
FLNC,1,1,False
FLUX,1,1,False
FLWS,-1,-1,True
FLXS,1,1,False
FN,-1,-1,True
FNGR,1,1,False
FONR,1,1,False
FOR,1,1,False
FORD,1,1,False
FORZ,1,1,False
FOX,1,1,False
FOXA,1,1,False
FRBKQ,1,-1,False
FRD,1,1,False
FREVS,1,1,False
FRHC,1,1,False
FSFG,1,1,False
FSSN,1,1,False
FSTJ,1,1,False
FUL,1,1,False
FUNI,1,1,False
FUST,1,1,False
FWFW,1,1,False
GAIN,1,1,False
GATO,1,1,False
GAXYQ,1,1,False
GBCS,1,1,False
GBDC,1,-1,False
GBLX,1,1,False
GBX,1,1,False
GCBC,1,1,False
GDST,1,1,False
GDSTU,1,1,False
GEF,1,1,False
GEG,1,1,False
GEN,1,1,False
GENC,1,1,False
GEOS,1,1,False
GEVI,1,1,False
GFF,1,1,False
GFMH,1,1,False
GFOO,1,1,False
GGEI,1,1,False
GHM,1,1,False
GHST,1,1,False
GIS,1,1,False
GLAD,1,1,False
GLAI,1,1,False
GLGI,1,1,False
GMBL,1,1,False
GMBLP,1,1,False
GMGI,1,1,False
GMS,1,1,False
GNSS,1,1,False
GPOX,1,1,False
GRCE,1,1,False
GSIT,1,1,False
GSPE,1,1,False
GSTC,1,1,False
GTIM,1,1,False
GTLL,-1,1,False
GWRE,1,1,False
HAE,1,1,False
HAIN,1,1,False
HAYN,1,1,False
HBUV,1,1,False
HCIL,1,1,False
HEI,1,1,False
HELE,1,1,False
HFBL,1,1,False
HFFG,1,1,False
HFUS,1,1,False
HI,1,1,False
HITC,1,1,False
HLI,1,1,False
HLNE,1,1,False
HMLA,1,1,False
HMMR,1,-1,False
HNNA,1,1,False
HNVR,1,1,False
HOLX,1,1,False
HOV,-1,-1,True
HOVVB,1,-1,False
HP,1,1,False
HPE,-1,-1,True
HPQ,1,1,False
HRB,1,1,False
HRL,1,1,False
HSCS,1,1,False
HTBI,1,1,False
HURC,1,1,False
HWKE,1,1,False
HWKN,1,1,False
HYSR,1,1,False
HZO,1,1,False
IBIO,1,1,False
ICMB,1,1,False
IDT,1,1,False
IDWM,1,1,False
IESC,1,1,False
IGC,1,1,False
IIIN,1,1,False
IIIV,1,1,False
IMAQ,1,1,False
IMAQU,1,1,False
IMG,1,1,False
IMKTA,1,1,False
IMTH,1,1,False
IMVT,1,1,False
INBP,1,1,False
INBS,1,1,False
INLB,1,1,False
INM,1,1,False
INND,1,1,False
INNV,1,1,False
INTA,1,1,False
INTG,1,1,False
INTU,1,1,False
INTV,1,1,False
IONI,1,1,False
IPIX,1,1,False
IPW,1,1,False
IROQ,1,1,False
ISSC,1,1,False
ITI,1,1,False
IVDN,1,1,False
J,1,1,False
JACK,1,-1,False
JANL,1,1,False
JBL,1,1,False
JBSS,1,1,False
JCI,1,-1,False
JCTC,1,1,False
JEWL,1,1,False
JFIL,1,1,False
JFTH,1,1,False
JJSF,1,1,False
JKHY,1,1,False
JOB,1,1,False
JOUT,1,1,False
JRSH,1,1,False
KACL,1,1,False
KACLU,1,1,False
KALV,1,1,False
KAVL,1,1,False
KD,1,1,False
KE,1,1,False
KEQU,1,1,False
KEYS,1,1,False
KFFB,1,1,False
KFY,1,1,False
KLAC,1,1,False
KLIC,1,1,False
KMT,1,1,False
KMX,1,1,False
KNIT,1,1,False
KNW,1,1,False
KOSS,1,1,False
KPEA,1,1,False
KRFG,1,1,False
KRNY,1,1,False
KRUS,1,1,False
KTCC,1,1,False
LANC,1,-1,False
LBUY,1,1,False
LDDD,1,1,False
LEDS,1,1,False
LEE,1,1,False
LEEN,1,1,False
LESL,1,1,False
LEXX,1,1,False
LFCR,1,1,False
LFVN,1,1,False
LGTY,1,1,False
LITE,1,1,False
LIVE,1,1,False
LMNR,1,1,False
LNBY,1,1,False
LNDZF,1,1,False
LNN,1,1,False
LOGI,1,1,False
LOOP,1,1,False
LPG,1,1,False
LPTH,1,1,False
LPTV,1,1,False
LQDT,1,1,False
LRCX,1,1,False
LRDC,1,1,False
LRN,1,1,False
LSAK,1,1,False
LTRX,1,1,False
LUVU,1,1,False
LVO,1,1,False
LW,1,1,False
LYTS,1,1,False
LZB,1,1,False
MARPS,1,1,False
MATW,1,1,False
MAYS,1,1,False
MBUU,1,1,False
MCFT,1,1,False
MCHP,1,1,False
MCK,1,1,False
MCLE,1,1,False
MDT,-1,-1,True
ME,1,1,False
MEI,1,1,False
MEIP,1,1,False
MESA,1,1,False
MGLD,1,1,False
MGYR,1,1,False
MITQ,1,1,False
MKC,1,1,False
MLAB,1,1,False
MLKN,1,1,False
MMEX,-1,-1,True
MMMW,1,1,False
MMND,1,1,False
MMNFQ,1,1,False
MMS,1,1,False
MNRO,1,1,False
MOD,1,1,False
MODD,1,1,False
MPAA,1,1,False
MRCY,1,1,False
MSFT,-1,-1,True
MSGS,1,1,False
MSM,1,1,False
MSN,1,1,False
MTN,1,1,False
MTRX,1,1,False
MTSI,1,1,False
MU,1,1,False
MUGH,1,1,False
MULN,-1,1,False
MVCO,1,1,False
MWA,1,1,False
MXC,1,1,False
MXSG,1,1,False
