Company,Performance 2023Q1,Performance 2023Q2,Relative 2023Q2
A,-11.298578489596242,-19.39472522766813,-27.817370276693858
AAPL,14.30441306191262,25.08710683553707,16.664461786511342
ACN,-4.263737977144456,13.706940409055296,5.284295360029567
ADBE,1.2999593622461387,31.061856646841303,22.639211597815574
ADI,11.933146081117247,4.437577768235028,-3.985067280790701
ADP,-7.233600561897953,-3.0562640782526507,-11.47890912727838
AMAT,10.436345623474406,21.348152705036863,12.925507656011135
APD,-9.20724896866635,-1.7132739147796041,-10.135918963805333
AVGO,9.036431521430485,40.244808541346636,31.822163492320907
AZO,1.0361805470045093,-1.1858494059905909,-9.60849445501632
BDX,-6.0333650090653235,4.465365485204951,-3.9572795638207774
BR,-2.500956956055799,10.429748016416886,2.007102967391157
CAH,-5.780550676949138,18.126492679254902,9.703847630229173
CCL,-4.100242167110936,41.14100024985453,32.718355200828796
COR,-5.902045386247561,14.733937322963117,6.311292273937388
COST,0.6832178982022693,6.59065526517727,-1.8319897838484582
CPRT,11.548676675486416,29.569545053446834,21.146900004421106
CSCO,3.701290307743198,4.529814178066731,-3.8928308709589974
CTAS,0.1060042191100789,11.239135227843681,2.8164901788179524
CUK,-3.2846192474155593,40.09866341308238,31.67601836405665
DE,-4.484387408367091,-4.750221773244483,-13.172866822270212
DECK,3.9523149444557086,19.44121652050944,11.01857147148371
DHI,0.746443362697225,22.452098637614693,14.029453588588964
DIS,-4.141826434294861,-10.33786896111808,-18.760514010143808
EA,-9.18620232825604,8.70604244483522,0.28339739580949086
EMR,-9.28149552609973,-1.0774069104566084,-9.500051959482336
FDX,13.456701155063369,14.63021278058802,6.207567731562291
FICO,10.386808055453868,18.48663525829558,10.06399020926985
GIS,0.6900214332963576,2.799564206114782,-5.623080842910946
GLD,0.6150267106572551,2.56982995941379,-5.852815089611939
HEI,3.8715187183831303,-0.9643881708625013,-9.38703321988823
HPE,-9.029321886407692,4.38381375440672,-4.038831294619008
HPQ,0.5538624640008283,6.007579448202346,-2.4150656008233824
INTU,4.540614461549439,8.758490700779289,0.3358456517535604
JCI,-9.08442216091063,1.3555476166021727,-7.067097432423556
KEYS,-11.807035761598897,-4.721761887270988,-13.144406936296717
KLAC,-6.037814288257016,18.855407613419377,10.432762564393649
LRCX,7.597558628460714,28.920468748156264,20.497823699130535
MCHP,10.092558728850543,4.222440674547655,-4.200204374478074
MCK,-9.060167952012211,11.347351081091988,2.9247060320662595
MDT,-1.014792400169299,6.2849374673835765,-2.137707581642152
MSFT,12.69791242987574,31.79337817114531,23.37073312211958
MU,-0.6722638907970179,14.45622234386517,6.033577294839441
NKE,-4.533027617272752,-10.767083709379282,-19.18972875840501
ORCL,0.2431008317347291,32.1770326687438,23.75438761971807
PANW,31.478995620493187,39.82581446122124,31.403169412195513
PAYX,-5.096963872259311,-1.1942106110842576,-9.616855660109985
PG,-2.713298079052355,3.8851290517832684,-4.53751599724246
PH,8.515537538985237,10.423266233617728,2.0006211845919992
QCOM,0.10641256839595768,-4.021349754762869,-12.443994803788598
RJF,-14.819099583628864,-8.001053099350885,-16.423698148376616
RMD,-3.7024173226893407,0.09663506988958516,-8.326009979136144
ROK,5.252025304338092,9.538619186589338,1.1159741375636099
SBUX,-4.641405807147332,-3.9733217331343726,-12.395966782160102
SNPS,9.698321899979238,22.57949846162229,14.156853412596561
STZ,-2.0393942787859025,10.498300286198631,2.075655237172903
SYY,-4.167664942519593,-4.765917631052908,-13.188562680078636
TDG,7.726097888465895,15.442683727526157,7.020038678500429
TEL,3.7501452049600794,4.705149683913098,-3.7174953651126303
TTWO,7.426504199449821,24.654041740437673,16.231396691411945
V,-0.336003589054024,2.1476415093637042,-6.275003539662024
ZS,-0.7042194928340424,22.896138542050682,14.473493493024954
